logM200,sigma
14.08625,465.8429
13.90311,465.8322
13.56854,465.7436
13.42228,465.7436
13.31812,465.7436
13.48051,465.7436
13.85532,465.6993
13.76418,465.655
13.84469,465.4779
13.8288,465.4779
14.28259,465.3514
13.72164,465.2249
13.05778,465.2122
13.39112,465.1237
13.09746,464.9465
13.32129,464.9465
13.9175,464.8498
13.54572,464.6935
13.62043,464.6809
13.33699,464.6809
13.81085,464.5923
13.73131,464.5923
13.82011,464.4152
13.41508,464.4152
13.49351,464.2634
13.66883,464.0609
13.56196,463.9901
14.27809,463.8838
14.07809,463.8838
13.71686,463.7067
13.58832,463.7067
13.53948,463.6561
13.59436,463.6412
13.92922,463.4967
13.53087,463.1437
13.39035,463.0868
13.32829,463.0868
13.82315,462.8211
13.48248,462.8211
13.53946,462.8211
13.86426,462.6322
13.50888,462.5554
14.04054,462.4668
13.87243,462.1393
13.60542,461.9355
13.60753,461.4927
13.9473,461.4547
13.7712,461.3155
13.98552,461.0941
13.60591,461.0499
14.17156,461.0499
13.56007,460.9613
13.39692,460.9613
14.04225,460.9613
13.40331,460.7665
13.72216,460.7517
13.54634,460.6956
14.34566,460.3592
13.24913,460.0883
14.23568,460.0757
13.65084,460.0462
13.00137,459.8986
13.77771,459.81
13.80062,459.81
13.46598,459.6329
14.12661,459.0296
13.66024,458.9402
13.54318,458.9244
13.49538,458.9244
13.70682,458.5701
13.24255,458.5701
13.54352,458.2602
14.20166,458.1962
13.44667,458.1126
13.49737,458.0388
13.64316,457.9736
13.86298,457.851
14.11721,457.8032
13.3443,457.7731
13.51303,457.5169
13.45621,457.5074
13.50147,457.5074
13.95082,457.472
13.35231,457.2417
13.57184,457.1974
14.29542,457.1679
13.59523,457.0266
13.56641,456.9711
13.15205,456.6218
13.95538,456.5577
13.83534,456.4447
13.6888,456.2675
13.77217,456.2321
13.45335,456.0904
13.18415,455.9133
13.62161,455.8838
13.80446,455.7366
13.55519,455.7362
13.44552,455.7362
14.67833,455.6761
13.71755,455.6603
13.24466,455.6476
13.64059,455.3819
14.53114,455.134
13.2634,455.1163
13.80749,454.8506
13.68641,454.7841
13.62777,454.5849
13.64396,454.5849
13.61977,454.5849
13.36641,454.5849
13.94258,454.4963
13.95933,454.4083
14.02972,454.0889
13.49789,453.965
13.91129,453.7347
13.66441,453.5221
13.36675,453.2565
13.8042,453.0793
13.94733,452.9899
13.53288,452.8769
13.87175,452.7694
13.47411,452.7251
13.36877,452.548
13.71425,452.3107
13.87494,452.1937
14.11507,452.0343
13.59529,451.9723
14.15785,451.9657
13.55102,451.9407
13.576,451.928
12.81098,451.928
13.75302,451.7952
13.91147,451.7686
13.41651,451.7509
12.76939,451.6624
13.3547,451.6624
14.48289,451.4498
13.68383,451.3211
13.3594,451.131
13.34503,450.9539
13.64585,450.6854
13.65003,450.6502
13.92839,450.5996
12.91933,450.5996
13.86202,450.5191
13.98251,450.5159
14.18701,450.4225
13.67585,450.3892
14.22104,450.2454
13.59307,450.0683
